,Unnamed: 0,Teacher_ID,Full_Name,Subject,Grade_Level,Years_Exp,Regional_Priority_Skills,School_SES_Rating,Student_Teacher_Ratio,Region,Skills
282,282,T1282,Teacher_282,English Literature,10,12,Standard_Curriculum,0.42,27.8,Semi-Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
283,283,T1283,Teacher_283,World History,9,6,Standard_Curriculum,0.98,18.1,Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
284,284,T1284,Teacher_284,Chemistry,7,9,Data_Ethics,0.96,15.2,Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
285,285,T1285,Teacher_285,Mathematics,12,9,Data_Ethics,0.24,31.8,Rural,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
286,286,T1286,Teacher_286,World History,6,12,Standard_Curriculum,0.91,17.5,Rural,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
287,287,T1287,Teacher_287,Biology,12,11,Climate_Science,0.97,15.0,Rural,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
288,288,T1288,Teacher_288,World History,7,9,Standard_Curriculum,0.91,20.2,Rural,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
289,289,T1289,Teacher_289,English Literature,6,17,Standard_Curriculum,0.87,15.4,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
290,290,T1290,Teacher_290,World History,8,13,Standard_Curriculum,0.24,28.2,Semi-Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
291,291,T1291,Teacher_291,Biology,6,11,Climate_Science,0.13,31.5,Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
292,292,T1292,Teacher_292,World History,8,15,Standard_Curriculum,0.44,26.4,Semi-Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
293,293,T1293,Teacher_293,Biology,11,7,Climate_Science,0.22,31.2,Rural,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
294,294,T1294,Teacher_294,Mathematics,6,7,"Data_Ethics, Mental_Health_First_Aid",0.84,16.2,Rural,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
295,295,T1295,Teacher_295,Mathematics,9,9,"Data_Ethics, Mental_Health_First_Aid",0.88,16.2,Semi-Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
296,296,T1296,Teacher_296,Computer Science,12,10,"AI_Literacy, Digital_Citizenship, Mental_Health_First_Aid",0.89,17.4,Rural,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
297,297,T1297,Teacher_297,English Literature,7,3,Standard_Curriculum,0.02,32.1,Rural,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
298,298,T1298,Teacher_298,Physics,10,8,"Data_Ethics, Mental_Health_First_Aid",0.54,22.0,Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
299,299,T1299,Teacher_299,English Literature,9,15,Standard_Curriculum,0.15,33.1,Rural,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
